FECHA_UTC,ESTE,NORTE,VERTICAL,ERUPCION
2024-12-22,0.0,-0.18,-0.69,1
2024-12-23,-0.18,-0.25,-0.23,1
2024-12-24,0.09,-0.19,-0.18,1
2024-12-25,0.01,-0.24,-0.12,1
2024-12-26,-0.07,-0.29,0.2,1
2024-12-27,-0.18,-0.35,-0.04,1
2024-12-28,0.1,-0.34,-0.1,0
2024-12-29,0.01,-0.26,-0.19,0
2024-12-30,-0.09,-0.29,-0.24,1
2024-12-31,-0.02,-0.37,-0.77,1
2025-01-01,0.06,-0.36,0.06,0
2025-01-02,-0.08,-0.08,-0.34,0
2025-01-03,0.12,-0.1,-0.35,0
2025-01-04,0.06,-0.2,-0.66,0
2025-01-05,-0.01,-0.13,-0.74,0
2025-01-06,0.04,-0.27,-0.17,0
2025-01-07,-0.01,-0.43,-0.24,0
2025-01-08,0.08,-0.39,-0.57,0
2025-01-09,0.02,-0.38,-0.44,0
2025-01-10,-0.01,-0.19,-0.44,0
2025-01-11,0.09,-0.4,0.05,0
2025-01-12,0.04,-0.51,-0.02,0
2025-01-13,0.04,-0.39,0.15,0
2025-01-14,0.01,-0.45,-0.19,0
2025-01-15,0.01,-0.46,-0.04,0
2025-01-16,0.25,-0.42,0.33,0
2025-01-17,0.03,-0.35,-0.14,0
2025-01-18,0.09,-0.36,-0.16,0
2025-01-19,0.1,-0.28,-0.05,0
2025-01-20,0.1,-0.31,-0.17,0
2025-01-21,0.17,-0.37,-0.34,0
2025-01-22,0.19,-0.37,0.09,0
2025-01-23,0.19,-0.23,-0.06,0
2025-01-24,0.39,-0.36,0.24,0
2025-01-25,0.28,-0.38,0.36,0
2025-01-26,0.28,-0.37,-0.58,0
2025-01-27,0.04,-0.24,-0.6,0
2025-01-28,0.3,-0.35,-0.58,0
2025-01-29,0.28,-0.11,-0.99,0
2025-01-30,0.21,-0.4,0.08,0
2025-01-31,0.29,-0.33,-0.2,0
2025-02-01,0.21,-0.29,0.45,0
2025-02-02,0.13,-0.34,0.14,0
2025-02-03,0.03,-0.35,-0.13,0
2025-02-04,0.02,-0.3,-0.03,0
2025-02-05,0.0,-0.36,0.09,0
2025-02-06,0.2,-0.37,0.93,0
2025-02-07,-0.03,-0.16,-0.47,0
2025-02-08,0.28,-0.16,0.02,0
2025-02-09,0.31,-0.15,0.06,0
2025-02-10,0.08,-0.08,-0.48,0
2025-02-11,0.07,-0.05,-0.45,0
2025-02-12,0.2,-0.23,-0.35,0
2025-02-13,0.14,-0.17,-0.91,0
2025-02-14,0.01,-0.09,-1.19,0
2025-02-15,0.29,-0.31,-0.55,0
2025-02-16,0.12,-0.37,-1.05,0
2025-02-17,0.15,-0.12,-0.65,0
2025-02-18,0.13,-0.34,-0.86,0
2025-02-19,0.2,-0.15,-0.8,0
2025-02-20,0.21,-0.49,0.07,0
2025-02-21,0.34,-0.17,-1.23,0
2025-02-22,0.24,-0.19,-1.14,0
2025-02-23,0.24,-0.28,-0.17,0
2025-02-24,0.04,-0.31,0.19,0
2025-02-25,0.14,-0.33,-0.52,0
2025-02-26,0.13,-0.5,-0.53,0
2025-02-27,-0.01,-0.28,-0.76,0
2025-02-28,0.12,-0.33,-0.67,0
2025-03-01,0.28,-0.48,-0.37,0
2025-03-02,0.21,-0.32,-1.04,0
2025-03-03,0.41,-0.37,-0.73,0
2025-03-04,0.41,-0.31,-0.23,0
2025-03-05,0.15,-0.27,-0.52,0
2025-03-06,0.19,-0.34,-0.75,0
2025-03-07,0.14,-0.23,-1.42,0
