FECHA_CORTE,UBIGEO,ANIO,DEPARTAMENTO,PROVINCIA,FECHA_UTC,ESTE,NORTE,VERTICAL,VOLCAN
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240522,0.2,-0.17,-0.49,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240523,0.05,-0.18,-0.3,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240524,0.17,-0.18,-0.72,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240525,0.11,-0.1,-0.22,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240526,0.29,-0.31,-0.81,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240527,0.28,-0.23,-0.42,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240528,0.23,-0.2,-0.17,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240529,0.26,-0.08,-0.51,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240530,0.28,-0.1,-0.54,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240531,0.32,-0.03,-0.53,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240601,0.21,-0.06,-0.53,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240602,0.14,-0.06,-0.75,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240603,0.1,-0.1,-0.86,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240604,0.32,-0.15,-0.72,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240605,0.25,-0.02,-0.97,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240606,0,-0.17,-0.54,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240607,0.19,-0.02,-0.98,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240608,0.21,-0.08,-0.79,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240609,0,-0.23,-0.64,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240610,0.27,-0.17,-0.65,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240611,0.16,-0.21,-0.92,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240612,0.22,-0.1,-0.8,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240613,0.02,-0.1,-0.38,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240614,-0.16,-0.35,-0.84,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240615,-0.03,-0.34,-1.09,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240616,-0.23,-0.39,-0.62,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240617,-0.16,-0.44,-0.26,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240618,0.06,-0.17,-0.77,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240619,-0.21,-0.29,-0.83,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240620,-0.25,-0.37,-0.77,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240621,-0.25,-0.42,-1.06,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240622,0.19,-0.33,-0.65,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240623,0.14,-0.4,-0.96,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240624,-0.02,-0.32,-0.72,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240625,0.12,-0.26,-0.7,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240626,-0.12,-0.37,-0.63,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240627,0.01,-0.38,-0.65,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240628,-0.12,-0.32,-0.77,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240629,-0.03,-0.36,-0.92,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240630,0.05,-0.2,-0.44,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240701,0.19,-0.25,-0.57,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240702,0.03,-0.22,-0.45,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240703,-0.04,-0.28,-0.51,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240704,0.03,-0.28,-0.45,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240705,-0.07,-0.3,-0.59,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240706,-0.13,-0.4,-0.58,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240707,0.12,-0.48,-0.35,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240708,-0.08,-0.37,-0.6,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240709,-0.03,-0.42,-0.66,UBINAS
20250424,1802,2024,MOQUEGUA,GENERAL SANCHEZ CERRO,20240710,0.02,-0.49,-0.75,UBINAS
